CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
10,223,AC0069(Pax4)-f8,AC0069(Pax4)-f1,AC0069(Pax4)-f3,AC0069(Pax4)-f4,1.0655416,0.91581124,0.7795159,0.7607018,,,,,,,,,,,,
10,276,AC0069(Pax4)-f2,AC0069(Pax4)-f3,1.061635,1.0298983,,,,,,,,,,,,,,,,
10,291,AC0069(Pax4)-f8,AC0069/AC0012(Pax4/Hoxd8)-f3,AC0069(Pax4)-f7,AC0069(Pax4)-f4,AC0069/AC0074/AC0070(Pax4/Ikzf3/Wt1)-f0,1.009345,1.0060035,1.0027294,0.92020464,0.79944897,,,,,,,,,,
10,832,AC0069(Pax4)-f9,AC0069(Pax4)-f8,AC0069(Pax4)-f6,AC0069(Pax4)-f1,1.0361161,0.95573556,0.7183116,0.70810854,,,,,,,,,,,,
10,490,AC0069(Pax4)-f9,AC0069(Pax4)-f2,AC0069(Pax4)-f7,AC0069(Pax4)-f6,AC0069(Pax4)-f4,1.3420786,1.033614,0.97329515,0.88271993,0.83986336,,,,,,,,,,
15,223,AC0069(Pax4)-f7,AC0069/AC0012(Pax4/Lhx1)-f10,AC0069/AC0068(Pax4/Pax5)-f1,AC0069/AC0048(Pax4/Gata1::Tal1)-f14,AC0069(Pax4)-f13,0.6197037,0.52986205,0.5254656,0.5201945,0.5004474,,,,,,,,,,
15,276,AC0069(Pax4)-f12,AC0069(Pax4)-f7,AC0069/AC0074(Pax4/Ikzf3)-f5,AC0069(Pax4)-f0,AC0069(Pax4)-f8,AC0065/AC0069(Klf4/Pax4)-f2,AC0070(Wt1)-f14,AC0066(Gli2/Gli1)-f10,0.78081685,0.7316689,0.64036715,0.62094367,0.611719,0.6039453,0.48542315,-0.00019822919,,,,
15,291,AC0069(Pax4)-f4,AC0079(Bcl6)-f6,AC0069(Pax4)-f2,AC0069(Pax4)-f3,AC0069(Pax4)-f5,AC0069(Pax4)-f9,0.7688516,0.68288773,0.630997,0.5664779,0.4939328,0.42753443,,,,,,,,
15,832,AC0069(Pax4)-f12,AC0069(Pax4)-f10,AC0069(Pax4)-f13,0.7276754,0.67412376,0.6424439,,,,,,,,,,,,,,
15,930,AC0069(Pax4)-f12,AC0073/AC0069(Prdm5/Pax4)-f6,AC0069(Pax4)-f4,AC0069(Pax4)-f1,AC0069(Pax4)-f11,AC0069(Pax4)-f2,AC0065(Klf4)-f10,AC0069(Pax4)-f3,AC0081(Zfp809)-f13,0.69164634,0.68656445,0.68644154,0.67980367,0.6357662,0.56884557,0.5679726,0.5555728,0.14789025,,
20,223,AC0069(Pax4)-f19,AC0069(Pax4)-f13,AC0069(Pax4)-f2,AC0069(Pax4)-f11,AC0069(Pax4)-f3,AC0069(Pax4)-f4,AC0069(Pax4)-f6,AC0048/AC0069(Gata1::Tal1/Pax4)-f7,0.5646437,0.49590987,0.4686879,0.4535428,0.43918875,0.42061377,0.4057412,0.19095458,,,,
20,276,AC0052/AC0069(Bcl11B/Pax4)-f1,AC0069(Pax4)-f12,AC0069/AC0012(Pax4/Lhx1)-f2,AC0069(Pax4)-f11,AC0069(Pax4)-f14,AC0069(Pax4)-f7,AC0058(Rarb)-f4,0.55245376,0.49137414,0.47294977,0.4513147,0.4105215,0.31034532,0.14257866,,,,,,
20,291,AC0069(Pax4)-f3,AC0069(Pax4)-f0,AC0069(Pax4)-f7,AC0069(Pax4)-f2,AC0069(Pax4)-f10,AC0069(Pax4)-f6,AC0069(Pax4)-f17,0.614674,0.6046704,0.5280755,0.5200221,0.4501742,0.44100296,0.41095525,,,,,,
20,832,AC0069/AC0068(Pax4/Pax5)-f3,AC0069(Pax4)-f17,AC0069(Pax4)-f5,AC0069(Pax4)-f2,AC0069/AC0073(Pax4/Prdm5)-f8,0.5753148,0.54579633,0.5381243,0.5299059,0.46068594,,,,,,,,,,
20,350,AC0069(Pax4)-f12,AC0069(Pax4)-f7,AC0069(Pax4)-f6,AC0069(Pax4)-f3,AC0069(Pax4)-f1,AC0047/AC0069(Plagl1/Pax4)-f11,AC0069/AC0079(Pax4/Stat5b)-f0,0.5634015,0.5449512,0.5035902,0.4736531,0.40614808,0.3526911,0.3097157,,,,,,
25,223,AC0069(Pax4)-f24,AC0010(Nanog)-f13,AC0002/AC0012(Stat2/Irf1/Prrx2)-f20,AC0069/AC0028(Pax4/Prdm15)-f18,AC0069(Pax4)-f11,AC0069(Pax4)-f12,AC0069(Pax4)-f14,AC0069(Pax4)-f19,AC0069/AC0064(Pax4/Pparg::Rxra)-f4,AC0047(Plagl1)-f3,0.4819115,0.46187264,0.40230304,0.37994137,0.3508871,0.34504426,0.33112416,0.29408234,0.2557053,-0.033810742
25,276,AC0069(Pax4)-f16,AC0069(Pax4)-f13,AC0069(Pax4)-f5,AC0069(Pax4)-f2,AC0066/AC0052(Gli1/Gli2/Bcl11B)-f17,AC0069/AC0065(Pax4/Klf4)-f15,AC0069/AC0068/AC0033(Pax4/Pax5/Hes1)-f7,AC0048/AC0069(Gata1::Tal1/Pax4)-f1,AC0069/AC0074(Pax4/Ikzf3)-f21,AC0069(Pax4)-f9,0.5459209,0.3470549,0.31540945,0.2952279,0.2926467,0.2923348,0.264112,0.23866472,0.14733481,-0.007607106
25,291,AC0069(Pax4)-f16,AC0069/AC0065(Pax4/Klf4)-f0,AC0001/AC0002/AC0069/AC0011(Foxl2/Irf1/Pax4/Hoxa13/Stat2)-f6,AC0069(Pax4)-f10,AC0069(Pax4)-f1,AC0069(Pax4)-f17,AC0069(Pax4)-f5,AC0069(Pax4)-f19,AC0069(Pax4)-f12,AC0069(Pax4)-f24,0.5884138,0.49827743,0.4779973,0.39414617,0.36692137,0.3460598,0.33971766,0.30595097,0.27228874,0.27213216
25,832,AC0069(Pax4)-f12,AC0069(Pax4)-f13,AC0069(Pax4)-f5,AC0069(Pax4)-f1,AC0069(Pax4)-f20,AC0069(Pax4)-f14,AC0069(Pax4)-f18,AC0070/AC0069(Wt1/Pax4)-f8,AC0069(Pax4)-f21,AC0069(Pax4)-f4,0.49819672,0.4766741,0.44546577,0.44009665,0.41734615,0.37448883,0.37224424,0.36723375,0.3665484,0.3346523
25,350,AC0069(Pax4)-f3,AC0069(Pax4)-f10,AC0069(Pax4)-f24,AC0069(Pax4)-f21,AC0069(Pax4)-f16,AC0069(Pax4)-f13,AC0001(Foxl2)-f0,AC0048/AC0069(Gata1::Tal1/Pax4)-f8,AC0069/AC0047(Pax4/Plagl1)-f5,0.49753913,0.45862135,0.42815125,0.42500368,0.39091873,0.24819939,0.23633757,0.23388098,0.19066548,,
30,223,AC0069(Pax4)-f7,AC0069(Pax4)-f5,AC0069(Pax4)-f12,AC0069(Pax4)-f11,AC0073/AC0069(Prdm5/Pax4)-f20,AC0069/AC0073(Pax4/Prdm5)-f26,AC0069(Pax4)-f16,AC0064/AC0058(Pparg::Rxra/NR5A1)-f15,AC0069(Pax4)-f19,AC0069(Pax4)-f13,0.48159537,0.46475047,0.4227692,0.41033283,0.38672036,0.37682354,0.3377146,0.32057345,0.28064293,0.23189399
30,276,AC0069(Pax4)-f12,AC0069(Pax4)-f7,AC0069(Pax4)-f19,AC0069(Pax4)-f11,AC0069(Pax4)-f29,AC0069(Pax4)-f5,AC0069(Pax4)-f15,AC0069(Pax4)-f26,AC0069(Pax4)-f8,AC0070(SP1)-f22,0.44788548,0.3924921,0.35419756,0.3311868,0.32214093,0.2946063,0.2707598,0.20897102,0.17121555,0.13303897
30,291,AC0069(Pax4)-f5,AC0069(Pax4)-f15,AC0069(Pax4)-f12,AC0069/AC0048(Pax4/Gata1::Tal1)-f9,AC0069(Pax4)-f29,AC0069(Pax4)-f25,AC0069/AC0029(Pax4/Zic3)-f19,AC0069(Pax4)-f20,AC0069(Pax4)-f13,AC0069(Pax4)-f8,0.44602257,0.37490165,0.37331453,0.3715743,0.33929446,0.3363636,0.24802338,0.22622135,0.20958489,0.010532266
30,832,AC0069(Pax4)-f5,AC0069(Pax4)-f24,AC0069(Pax4)-f9,AC0069(Pax4)-f7,AC0069(Pax4)-f27,AC0069(Pax4)-f2,AC0063(Hnf1A)-f11,AC0069(Pax4)-f6,AC0069(Pax4)-f19,AC0069(Pax4)-f23,0.41963264,0.39520863,0.37783587,0.3330772,0.30803823,0.29918587,0.28116643,0.26390192,0.25798658,0.24619967
30,930,AC0069(Pax4)-f16,AC0069(Pax4)-f27,AC0069(Pax4)-f19,AC0069(Pax4)-f8,AC0069(Pax4)-f15,AC0069(Pax4)-f20,AC0069(Pax4)-f26,AC0069/AC0052/AC0066(Pax4/Bcl11B/Gli1)-f13,AC0069(Pax4)-f6,AC0069(Pax4)-f3,0.49804428,0.38781968,0.36363977,0.34614977,0.3155805,0.3100917,0.29993105,0.2891896,0.28579664,0.28193417
35,223,AC0069/AC0073(Pax4/Prdm5)-f29,AC0069(Pax4)-f21,AC0069(Pax4)-f27,AC0069(Pax4)-f19,AC0069(Pax4)-f26,AC0069/AC0073(Pax4/Prdm5)-f9,AC0069(Pax4)-f22,AC0069(Pax4)-f11,AC0069(Pax4)-f20,AC0069(Pax4)-f6,0.37953225,0.36778337,0.3413227,0.3373856,0.3344093,0.30920833,0.28121814,0.267344,0.26079956,0.24814011
35,276,AC0069(Pax4)-f6,AC0069(Pax4)-f33,AC0064/AC0070/AC0069(Pparg::Rxra/Wt1/Pax4)-f30,AC0069(Pax4)-f3,AC0069(Pax4)-f22,AC0069/AC0073(Pax4/Prdm5)-f28,AC0005(Sox3)-f12,AC0069(Pax4)-f10,AC0069(Pax4)-f34,AC0069(Pax4)-f16,0.34772944,0.31664217,0.3103048,0.30996034,0.29041958,0.2896256,0.27433187,0.26704887,0.26189986,0.25839636
35,291,AC0069(Pax4)-f1,AC0069(Pax4)-f22,AC0069/AC0002(Pax4/Irf1/Stat2)-f21,AC0069(Pax4)-f23,AC0069(Pax4)-f8,AC0069(Pax4)-f6,AC0069(Pax4)-f18,AC0069(Pax4)-f34,AC0069(Pax4)-f31,AC0069(Pax4)-f9,0.39093894,0.38604,0.375288,0.35712892,0.3401662,0.32113186,0.31853116,0.29146972,0.28887215,0.27571827
35,832,AC0073/AC0069/AC0063(Prdm5/Pax4/Hnf1A)-f32,AC0069(Pax4)-f11,AC0069(Pax4)-f0,AC0069(Pax4)-f21,AC0069/AC0048/AC0073(Pax4/Gata1::Tal1/Prdm5)-f28,AC0069/AC0064(Pax4/Pparg::Rxra)-f25,AC0069(Pax4)-f22,AC0069(Pax4)-f31,AC0069(Pax4)-f12,AC0022(Yy1)-f7,0.3679188,0.36064333,0.35614064,0.31618932,0.31341243,0.3084113,0.30601862,0.29008856,0.2803859,0.26887372
35,350,AC0069(Pax4)-f32,AC0069(Pax4)-f8,AC0069(Pax4)-f28,AC0069/AC0052(Pax4/Bcl11B)-f1,AC0069(Pax4)-f24,AC0069/AC0079/AC0073/AC0064(Pax4/Stat5b/Prdm5/Pparg::Rxra/Stat5a)-f16,AC0069/AC0063(Pax4/Lef1)-f2,AC0069/AC0063(Pax4/Lef1)-f21,AC0069(Pax4)-f26,AC0028(Prdm15)-f3,0.38906133,0.35898498,0.34290886,0.3223904,0.29766455,0.2940229,0.29253027,0.28610054,0.27651778,0.26699266
40,223,AC0069(Pax4)-f24,AC0069(Pax4)-f36,AC0069/AC0073(Pax4/Prdm5)-f20,AC0069(Pax4)-f26,AC0028(Prdm15)-f22,AC0069(Pax4)-f4,AC0069(Pax4)-f27,AC0069/AC0065/AC0072/AC0073/AC0002(Pax4/Klf4/Nfat5/Prdm5/Stat2)-f38,AC0069(Pax4)-f32,AC0069/AC0073(Pax4/Prdm5)-f14,0.3545552,0.34567487,0.33340034,0.32861787,0.31656396,0.29624844,0.27252206,0.26539358,0.26461503,0.2441021
40,276,AC0065/AC0069(Klf4/Pax4)-f28,AC0069/AC0033(Pax4/Hes1)-f2,AC0069(Pax4)-f38,AC0069(Pax4)-f7,AC0069(Pax4)-f37,AC0069(Pax4)-f9,AC0069(Pax4)-f16,AC0069(Pax4)-f34,AC0069(Pax4)-f20,AC0069(Pax4)-f5,0.3583231,0.35579225,0.34975907,0.33865654,0.33191675,0.31239864,0.2935895,0.2893766,0.28813908,0.24665487
40,291,AC0010(Nanog)-f36,AC0069(Pax4)-f26,AC0069(Pax4)-f14,AC0069/AC0002/AC0058/AC0001(Pax4/Irf1/NR5A1/Foxl2)-f10,AC0047/AC0069(Plagl1/Pax4)-f5,AC0069(Pax4)-f23,AC0069(Pax4)-f9,AC0069(Pax4)-f31,AC0069(Pax4)-f6,AC0069(Pax4)-f22,0.3684009,0.34497043,0.300474,0.28324115,0.2783878,0.26276964,0.25831556,0.2477888,0.24668129,0.23538457
40,832,AC0069(Pax4)-f19,AC0069(Pax4)-f9,AC0069(Pax4)-f17,AC0069(Pax4)-f25,AC0069(Pax4)-f38,AC0069(Pax4)-f37,AC0069(Pax4)-f36,AC0069(Pax4)-f8,AC0069(Pax4)-f26,AC0069/AC0073(Pax4/Prdm5)-f32,0.3565528,0.3392661,0.33256152,0.31364307,0.31119913,0.3086256,0.28785798,0.28537437,0.27638182,0.2688654
40,350,AC0069(Pax4)-f34,AC0069(Pax4)-f35,AC0073(Prdm5)-f23,AC0069(Pax4)-f9,AC0069/AC0070(Pax4/SP1/Wt1)-f2,AC0069(Pax4)-f11,AC0069/AC0052(Pax4/Bcl11B/Runx1)-f13,AC0069(Pax4)-f8,AC0069(Pax4)-f19,AC0069(Pax4)-f29,0.31747702,0.31428248,0.29432052,0.29031602,0.2836581,0.26708436,0.24386415,0.24378005,0.21290565,0.20975704
45,223,AC0069(Pax4)-f44,AC0069(Pax4)-f7,AC0069(Pax4)-f29,AC0069(Pax4)-f13,AC0069(Pax4)-f12,AC0069(Pax4)-f37,AC0069(Pax4)-f34,AC0069(Pax4)-f0,AC0069(Pax4)-f3,AC0069(Pax4)-f18,0.2878626,0.2717876,0.2418532,0.23451643,0.23040065,0.22945324,0.22601415,0.21712951,0.21585436,0.18656723
45,276,AC0069(Pax4)-f42,AC0069(Pax4)-f20,AC0069(Pax4)-f38,AC0069(Pax4)-f9,AC0069/AC0073/AC0066(Pax4/Prdm5/Gli1)-f15,AC0069(Pax4)-f33,AC0069(Pax4)-f29,AC0069(Pax4)-f8,AC0028(Prdm15)-f18,AC0064/AC0070/AC0069/AC0074/AC0047(Pparg::Rxra/Wt1/Pax4/Ikzf3/Plagl1)-f21,0.26512495,0.2568055,0.21872668,0.20608027,0.19286877,0.1831121,0.16693173,0.16634126,0.15988754,0.158635
45,291,AC0061(Nr1h3::Rxra)-f12,AC0069(Pax4)-f37,AC0048/AC0069(Gata1::Tal1/Pax4)-f36,AC0023(Msgn1)-f26,AC0069(Pax4)-f29,AC0069(Pax4)-f8,AC0069(Pax4)-f0,AC0069(Pax4)-f4,AC0069(Pax4)-f7,AC0069(Pax4)-f3,0.28975946,0.28859174,0.2507749,0.23952901,0.2343144,0.23017885,0.21981181,0.20838748,0.20097399,0.20075178
45,832,AC0069(Pax4)-f42,AC0069(Pax4)-f24,AC0069(Pax4)-f6,AC0069(Pax4)-f30,AC0069(Pax4)-f36,AC0069(Pax4)-f19,AC0069(Pax4)-f21,AC0069(Pax4)-f20,AC0025(Neurog1)-f12,AC0069(Pax4)-f1,0.28730762,0.23654689,0.2249442,0.22193511,0.20753966,0.20355795,0.20134085,0.1521662,0.14054835,0.12655705
45,930,AC0069/AC0073(Pax4/Prdm5)-f4,AC0069/AC0074(Pax4/Ikzf3)-f30,AC0069(Pax4)-f32,AC0069(Pax4)-f12,AC0069(Pax4)-f8,AC0064/AC0069(Pparg::Rxra/Pax4)-f43,AC0069(Pax4)-f17,AC0069(Pax4)-f0,AC0069(Pax4)-f2,AC0069(Pax4)-f26,0.32275516,0.2966951,0.29243776,0.28071597,0.27663943,0.2672178,0.26616305,0.21108145,0.21029852,0.18382894
50,223,AC0069(Pax4)-f5,AC0069/AC0073(Pax4/Prdm5)-f8,AC0069(Pax4)-f40,AC0069(Pax4)-f6,AC0069(Pax4)-f13,AC0069(Pax4)-f10,AC0069(Pax4)-f45,AC0069(Pax4)-f29,AC0069(Pax4)-f35,AC0074/AC0069(Ikzf3/Pax4)-f39,0.25750917,0.2545087,0.23655738,0.2319021,0.22418988,0.21353067,0.2108577,0.19420286,0.19267622,0.18892953
50,276,AC0069(Pax4)-f22,AC0069(Pax4)-f2,AC0069(Pax4)-f48,AC0069(Pax4)-f12,AC0069(Pax4)-f35,AC0069(Pax4)-f44,AC0079/AC0069(Stat5b/Pax4)-f49,AC0069(Pax4)-f14,AC0069/AC0058/AC0073(Pax4/NR5A1/Prdm5)-f30,AC0069(Pax4)-f36,0.27477232,0.2738253,0.25518557,0.2548693,0.25432688,0.25040698,0.24527419,0.22867681,0.21927115,0.20202805
50,291,AC0069/AC0052(Pax4/Bcl11B)-f26,AC0069(Pax4)-f43,AC0064(Pparg::Rxra)-f18,AC0069(Pax4)-f36,AC0069(Pax4)-f9,AC0069/AC0052/AC0066(Pax4/Bcl11B/Gli1)-f3,AC0069(Pax4)-f44,AC0069(Pax4)-f48,AC0069(Pax4)-f31,AC0069(Pax4)-f34,0.36464193,0.2776608,0.26423696,0.26338813,0.26110658,0.2502089,0.24166863,0.21931711,0.1859605,0.1738489
50,832,AC0069(Pax4)-f15,AC0069(Pax4)-f43,AC0069(Pax4)-f2,AC0069(Pax4)-f20,AC0069(Pax4)-f1,AC0069/AC0048(Pax4/Gata1::Tal1)-f34,AC0069(Pax4)-f5,AC0069(Pax4)-f24,AC0069/AC0028(Pax4/Prdm15)-f28,AC0045/AC0047/AC0076(Ebf4/Ebf2/Plagl1/Rfx1/EBF1)-f37,0.27588657,0.25302306,0.2514309,0.25013807,0.24926773,0.24590537,0.2286285,0.2273272,0.22712612,0.17786254
50,350,AC0069(Pax4)-f39,AC0069(Pax4)-f3,AC0069(Pax4)-f4,AC0069(Pax4)-f16,AC0069/AC0073(Pax4/Prdm5)-f24,AC0069(Pax4)-f10,AC0069/AC0052(Pax4/Bcl11B)-f17,AC0069(Pax4)-f28,AC0069/AC0033(Pax4/Hes1/Tcfl5)-f19,AC0065/AC0069(Klf4/Pax4)-f49,0.26602653,0.26016316,0.22251013,0.21566738,0.21417072,0.21408807,0.21059977,0.2007036,0.1971952,0.1910973
55,223,AC0069(Pax4)-f17,AC0069/AC0065(Pax4/Klf4)-f10,AC0057(Npas4)-f2,AC0069(Pax4)-f6,AC0069(Pax4)-f14,AC0069(Pax4)-f51,AC0069(Pax4)-f45,AC0069(Pax4)-f25,AC0069(Pax4)-f49,AC0069/AC0002/AC0052(Pax4/Irf1/Bcl11B)-f23,0.2603071,0.23292458,0.23135504,0.2296591,0.22768833,0.22559573,0.22360784,0.22178903,0.22078472,0.21577746
55,276,AC0005(SOX10)-f40,AC0069(Pax4)-f54,AC0069/AC0064(Pax4/Pparg::Rxra)-f21,AC0069(Pax4)-f1,AC0069(Pax4)-f35,AC0069(Pax4)-f30,AC0047(Plagl1)-f26,AC0069(Pax4)-f47,AC0069/AC0068(Pax4/Pax5)-f31,AC0069(Pax4)-f53,0.2710914,0.26312742,0.24975824,0.23943368,0.23317687,0.23022413,0.2184882,0.21228969,0.21216163,0.19176608
55,291,AC0069(Pax4)-f36,AC0069(Pax4)-f8,AC0069(Pax4)-f54,AC0069(Pax4)-f41,AC0069(Pax4)-f1,AC0069(Pax4)-f16,AC0069(Pax4)-f23,AC0069(Pax4)-f39,AC0069/AC0065/AC0073(Pax4/Klf4/Prdm5)-f42,AC0069/AC0052(Pax4/Bcl11B)-f21,0.2560608,0.2500398,0.24590102,0.23579523,0.2276401,0.22382171,0.21464905,0.20548436,0.20104142,0.19612446
55,832,AC0069(Pax4)-f5,AC0069/AC0065/AC0064(Pax4/Klf4/Pparg::Rxra)-f3,AC0069(Pax4)-f32,AC0069(Pax4)-f44,AC0069(Pax4)-f47,AC0069(Pax4)-f48,AC0075(Zfp335)-f13,AC0069(Pax4)-f28,AC0069(Pax4)-f20,AC0069(Pax4)-f23,0.2614203,0.25598702,0.2497047,0.2369743,0.23363799,0.22066948,0.19954777,0.19455178,0.18146442,0.17818052
55,350,AC0073(Prdm5)-f3,AC0069(Pax4)-f43,AC0069(Pax4)-f22,AC0069(Pax4)-f18,AC0069(Pax4)-f25,AC0069(Pax4)-f54,AC0069(Pax4)-f32,AC0069(Pax4)-f17,AC0069(Pax4)-f21,AC0069(Pax4)-f52,0.2688963,0.26603776,0.2577536,0.25224453,0.24269971,0.24101034,0.23490015,0.23301458,0.23131174,0.19519621
