CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
60,223,AC0069(Pax4)-f55,AC0069/AC0052(Pax4/Bcl11B)-f33,AC0069(Pax4)-f30,AC0069(Pax4)-f58,AC0069(Pax4)-f39,AC0069(Pax4)-f50,AC0061/AC0069(Nr1h3::Rxra/Pax4)-f37,AC0069(Pax4)-f1,AC0069(Pax4)-f48,AC0069(Pax4)-f38,0.25068992,0.22204705,0.21981451,0.21879707,0.21306089,0.19147629,0.1818704,0.18083459,0.1792134,0.17871556
60,276,AC0069(Pax4)-f3,AC0069(Pax4)-f28,AC0064/AC0048(Pparg::Rxra/Gata3)-f31,AC0069(Pax4)-f8,AC0065/AC0069/AC0064(Klf4/Pax4/Pparg::Rxra)-f0,AC0069(Pax4)-f16,AC0069(Pax4)-f4,AC0069(Pax4)-f38,AC0069(Pax4)-f13,AC0069(Pax4)-f14,0.24236771,0.21706127,0.21520334,0.209834,0.20280746,0.20042442,0.19928429,0.17286937,0.17112724,0.15162405
60,291,AC0068(Pax5)-f39,AC0069(Pax4)-f21,AC0069(Pax4)-f40,AC0069(Pax4)-f26,AC0069(Pax4)-f56,AC0069/AC0064(Pax4/Pparg::Rxra)-f45,AC0069(Pax4)-f58,AC0069(Pax4)-f29,AC0069(Pax4)-f52,AC0069(Pax4)-f2,0.2231382,0.21732342,0.21649224,0.20858665,0.20632347,0.20509695,0.18945898,0.18931785,0.18712787,0.17608598
60,832,AC0069(Pax4)-f14,AC0069(Pax4)-f37,AC0069(Pax4)-f47,AC0069(Pax4)-f30,AC0069/AC0002(Pax4/Stat2)-f44,AC0069(Pax4)-f51,AC0069/AC0064/AC0058(Pax4/Pparg::Rxra/NR5A1)-f33,AC0069(Pax4)-f3,AC0069(Pax4)-f54,AC0052(Bcl11B)-f39,0.24840504,0.24589963,0.23969486,0.23093209,0.2234211,0.22276475,0.17985663,0.17899692,0.1744286,0.17403245
60,350,AC0069(Pax4)-f29,AC0069(Pax4)-f8,AC0069(Pax4)-f53,AC0001(Foxk1)-f3,AC0069(Pax4)-f30,AC0026/AC0069(Ptf1a/Neurod2/Pax4/Bhlha15/Ptf1A)-f13,AC0069(Pax4)-f42,AC0069/AC0068(Pax4/Pax5)-f54,AC0069(Pax4)-f17,AC0069(Pax4)-f15,0.27738762,0.2767246,0.26431593,0.24889709,0.22642927,0.22434512,0.19384804,0.18256266,0.14409487,0.13479166
65,223,AC0069(Pax4)-f3,AC0058(NR5A1)-f61,AC0069(Pax4)-f22,AC0069(Pax4)-f6,AC0063(Lef1)-f58,AC0069(Pax4)-f38,AC0069(Pax4)-f53,AC0069(Pax4)-f10,AC0068/AC0069(Pax5/Pax4)-f30,AC0069(Pax4)-f12,0.22181542,0.22120927,0.21262898,0.20502414,0.19403505,0.1916425,0.1904994,0.19024906,0.18194802,0.17765808
65,276,AC0069(Pax4)-f63,AC0069/AC0065/AC0064(Pax4/Klf4/Pparg::Rxra)-f8,AC0069(Pax4)-f2,AC0069(Pax4)-f53,AC0069/AC0012(Pax4/Lhx1)-f58,AC0066(Gli1)-f9,AC0069(Pax4)-f20,AC0069(Pax4)-f49,AC0069(Pax4)-f61,AC0069(Pax4)-f27,0.22652268,0.20536454,0.20521389,0.19555071,0.19330153,0.1919107,0.1901028,0.18901761,0.18511704,0.1730262
65,291,AC0069(Pax4)-f61,AC0069(Pax4)-f39,AC0069(Pax4)-f24,AC0069(Pax4)-f37,AC0069(Pax4)-f4,AC0069(Pax4)-f47,AC0069(Pax4)-f45,AC0012/AC0069(Lhx1/Dlx5/Dlx3/Pax4)-f23,AC0069(Pax4)-f54,AC0069(Pax4)-f7,0.23552959,0.22849989,0.2246592,0.21268259,0.20921841,0.20793213,0.19519113,0.16948229,0.16838004,0.16736141
65,832,AC0073/AC0069(Prdm5/Pax4)-f63,AC0069(Pax4)-f9,AC0069/AC0058/AC0064(Pax4/NR5A1/Pparg::Rxra)-f32,AC0069(Pax4)-f33,AC0040(NR3C1)-f18,AC0069(Pax4)-f26,AC0069(Pax4)-f15,AC0069(Pax4)-f64,AC0069(Pax4)-f27,AC0069(Pax4)-f44,0.20003258,0.18904097,0.18643379,0.18561451,0.17430946,0.1644071,0.15845168,0.15785885,0.15538062,0.14694802
65,350,AC0069/AC0012(Pax4/Lhx1)-f6,AC0069(Pax4)-f42,AC0069(Pax4)-f61,AC0069(Pax4)-f58,AC0069(Pax4)-f47,AC0069(Pax4)-f60,AC0069(Pax4)-f38,AC0069(Pax4)-f24,AC0023(Msgn1)-f1,AC0069(Pax4)-f29,0.21656615,0.21635331,0.21031237,0.19694999,0.19478142,0.19313347,0.19110067,0.17925587,0.15911831,0.15406398
70,223,AC0047(Plagl1)-f17,AC0069(Pax4)-f69,AC0069(Pax4)-f5,AC0069(Pax4)-f9,AC0069(Pax4)-f47,AC0079(Stat5b)-f12,AC0069(Pax4)-f44,AC0069(Pax4)-f1,AC0026/AC0025(Neurod2/Neurog1/Ptf1a)-f36,AC0025(Neurog1)-f48,0.21445107,0.21157159,0.20813131,0.18905394,0.18692233,0.18688479,0.18153635,0.18114078,0.18009022,0.17154463
70,276,AC0069/AC0072(Pax4/Nfat5)-f67,AC0002(Stat2/Irf1)-f25,AC0069(Pax4)-f14,AC0069(Pax4)-f35,AC0069(Pax4)-f33,AC0069(Pax4)-f42,AC0033/AC0069/AC0052(Hes1/Pax4/Bcl11B)-f46,AC0069(Pax4)-f24,AC0069(Pax4)-f66,AC0069(Pax4)-f60,0.22651197,0.2250953,0.21813908,0.21360928,0.20414777,0.20214254,0.19330579,0.19306071,0.19049233,0.18277499
70,291,AC0007(Nkx2-1)-f29,AC0069(Pax4)-f63,AC0069(Pax4)-f44,AC0045(Ebf2)-f10,AC0045(Ebf4)-f23,AC0069/AC0052/AC0068(Pax4/Bcl11B/Pax5)-f8,AC0069(Pax4)-f1,AC0069/AC0073(Pax4/Prdm5)-f32,AC0069(Pax4)-f25,AC0069(Pax4)-f66,0.2516003,0.19953899,0.18926014,0.18447301,0.18428497,0.18312544,0.18283448,0.18123502,0.1811128,0.16800037
70,832,AC0069(Pax4)-f48,AC0069(Pax4)-f66,AC0069(Pax4)-f53,AC0069(Pax4)-f24,AC0069(Pax4)-f39,AC0069(Pax4)-f49,AC0026/AC0033/AC0047(Ptf1A/Arntl/Mitf/Plagl1)-f8,AC0069(Pax4)-f43,AC0069(Pax4)-f31,AC0069(Pax4)-f1,0.20852286,0.18470515,0.1795633,0.16527358,0.16055262,0.1602149,0.16015066,0.15508308,0.15161115,0.15036431
70,350,AC0069(Pax4)-f27,AC0069(Pax4)-f36,AC0070(Wt1)-f68,AC0069(Pax4)-f51,AC0069(Pax4)-f28,AC0069(Pax4)-f49,AC0002(Stat2)-f29,AC0069/AC0058(Pax4/NR5A1)-f6,AC0069/AC0065/AC0064(Pax4/Klf4/Pparg::Rxra)-f59,AC0069(Pax4)-f0,0.19925877,0.19602643,0.1857793,0.17500511,0.16252142,0.1550434,0.15243907,0.15220135,0.14508544,0.12948422
75,223,AC0069(Pax4)-f12,AC0069(Pax4)-f9,AC0069(Pax4)-f59,AC0069(Pax4)-f72,AC0069(Pax4)-f62,AC0069(Pax4)-f47,AC0069/AC0012(Pax4/Lhx1)-f49,AC0069(Pax4)-f17,AC0069(Pax4)-f27,AC0063/AC0069(Lef1/Pax4)-f38,0.18587713,0.18280469,0.17965469,0.1764664,0.17380029,0.17104854,0.16506933,0.16077149,0.15494207,0.15360875
75,276,AC0069(Pax4)-f42,AC0069(Pax4)-f55,AC0028(Prdm15)-f41,AC0069(Pax4)-f28,AC0069(Pax4)-f64,AC0069(Pax4)-f46,AC0069(Pax4)-f38,AC0069(Pax4)-f29,AC0069(Pax4)-f65,AC0069(Pax4)-f15,0.18034995,0.17372309,0.17311536,0.16987017,0.1632732,0.15980864,0.15978588,0.15825082,0.15686022,0.15583286
75,291,AC0069(Pax4)-f63,AC0064(Pparg::Rxra)-f74,AC0069(Pax4)-f42,AC0069/AC0073(Pax4/Prdm5)-f20,AC0069(Pax4)-f27,AC0073/AC0069/AC0047/AC0054(Prdm5/Pax4/Plagl1/En1)-f29,AC0069(Pax4)-f32,AC0069(Pax4)-f19,AC0069(Pax4)-f22,AC0069(Pax4)-f13,0.20196243,0.1898794,0.18634598,0.16353184,0.1620346,0.15672651,0.15369624,0.14323254,0.13984661,0.13160102
75,832,AC0069(Pax4)-f17,AC0069(Pax4)-f13,AC0069(Pax4)-f58,AC0069/AC0064(Pax4/Pparg::Rxra)-f16,AC0059(ESR1)-f10,AC0069(Pax4)-f71,AC0069(Pax4)-f56,AC0069(Pax4)-f33,AC0069(Pax4)-f44,AC0058(NR5A1)-f42,0.19152123,0.18239903,0.17906936,0.1754573,0.16920367,0.16797401,0.16296104,0.15729567,0.15700269,0.150909
75,350,AC0069(Pax4)-f61,AC0069/AC0064(Pax4/Pparg::Rxra)-f53,AC0068/AC0069(Pax5/Pax4)-f23,AC0069(Pax4)-f41,AC0069(Pax4)-f7,AC0069(Pax4)-f17,AC0079(Stat5a)-f12,AC0069(Pax4)-f9,AC0069(Pax4)-f28,AC0069(Pax4)-f22,0.19594681,0.19227554,0.17817628,0.17157857,0.17031235,0.16398501,0.15479603,0.15276816,0.15084848,0.13753808
80,223,AC0069(Pax4)-f54,AC0069(Pax4)-f39,AC0069(Pax4)-f61,AC0069(Pax4)-f19,AC0069/AC0012(Pax4/Hoxd8)-f13,AC0069(Pax4)-f22,AC0069(Pax4)-f23,AC0069(Pax4)-f75,AC0069(Pax4)-f71,AC0069(Pax4)-f68,0.1743577,0.16226597,0.16207595,0.16084148,0.15360975,0.15094775,0.14940754,0.1490397,0.14532144,0.14172176
80,276,AC0069(Pax4)-f74,AC0069(Pax4)-f66,AC0069(Pax4)-f19,AC0069(Pax4)-f57,AC0069(Pax4)-f52,AC0069(Pax4)-f73,AC0069(Pax4)-f47,AC0069(Pax4)-f45,AC0069/AC0054(Pax4/En1)-f30,AC0069(Pax4)-f63,0.18092334,0.17846191,0.17768708,0.1761856,0.17385347,0.1719684,0.16920133,0.16257966,0.15540755,0.1551031
80,291,AC0069(Pax4)-f42,AC0012/AC0069(Lhx1/Pax4)-f58,AC0069(Pax4)-f60,AC0069/AC0073(Pax4/Prdm5)-f44,AC0069(Pax4)-f72,AC0069(Pax4)-f45,AC0069(Pax4)-f35,AC0069(Pax4)-f53,AC0029/AC0069/AC0074(Zic2/Zic3/Pax4/Ikzf3)-f32,AC0069(Pax4)-f33,0.18190895,0.1661347,0.1620165,0.16099636,0.16069719,0.15778017,0.15684313,0.15143451,0.14969546,0.14841259
80,832,AC0069(Pax4)-f35,AC0073/AC0069(Prdm5/Pax4)-f34,AC0069(Pax4)-f40,AC0061(Nr1h3::Rxra)-f15,AC0069(Pax4)-f11,AC0069(Pax4)-f56,AC0069(Pax4)-f63,AC0069(Pax4)-f68,AC0069(Pax4)-f52,AC0069(Pax4)-f12,0.19836801,0.19139506,0.17337027,0.16920641,0.1668098,0.16601369,0.1659557,0.16132672,0.15913157,0.15615958
80,350,AC0069(Pax4)-f17,AC0048(Gata1::Tal1)-f73,AC0069(Pax4)-f8,AC0069(Pax4)-f15,AC0069(Pax4)-f21,AC0069(Pax4)-f71,AC0069(Pax4)-f7,AC0069(Pax4)-f11,AC0069(Pax4)-f62,AC0069(Pax4)-f33,0.16931447,0.16333301,0.15681995,0.14513804,0.13922246,0.13616225,0.13609996,0.13445592,0.13283905,0.13006479
85,223,AC0069(Pax4)-f61,AC0069(Pax4)-f49,AC0069(Pax4)-f81,AC0069(Pax4)-f82,AC0069(Pax4)-f38,AC0069(Pax4)-f77,AC0073(Prdm5)-f44,AC0069(Pax4)-f57,AC0069(Pax4)-f21,AC0012/AC0011(Hmx3/Hmx2/Hmx1/Hoxa13)-f53,0.18525034,0.16859108,0.16518342,0.15804927,0.15792555,0.1558359,0.14533651,0.14188835,0.13388109,0.13149054
85,276,AC0069/AC0052(Pax4/Bcl11B)-f3,AC0069(Pax4)-f81,AC0069(Pax4)-f71,AC0069(Pax4)-f66,AC0069(Pax4)-f69,AC0028/AC0029/AC0063/AC0069(Prdm15/Zic2/Lef1/Pax4/Zic3)-f41,AC0069/AC0074/AC0054(Pax4/Ikzf3/En1)-f44,AC0069(Pax4)-f5,AC0069(Pax4)-f78,AC0069(Pax4)-f76,0.17446359,0.16411223,0.16087751,0.1605974,0.1601091,0.14786804,0.14600348,0.14370197,0.14086069,0.13836707
85,291,AC0033(Hes1)-f15,AC0069(Pax4)-f11,AC0069(Pax4)-f75,AC0069(Pax4)-f65,AC0069/AC0064(Pax4/Pparg::Rxra)-f46,AC0069/AC0033(Pax4/Tcfl5)-f3,AC0069/AC0029(Pax4/Zic2)-f58,AC0069(Pax4)-f63,AC0069(Pax4)-f53,AC0069(Pax4)-f68,0.18228792,0.17614767,0.17347303,0.16424681,0.16127472,0.1608979,0.16057369,0.16003911,0.14542492,0.14073956
85,832,AC0069(Pax4)-f68,AC0069/AC0002(Pax4/Irf1/Stat2)-f51,AC0069(Pax4)-f46,AC0069(Pax4)-f12,AC0069(Pax4)-f56,AC0069(Pax4)-f31,AC0065(Klf4)-f8,AC0069(Pax4)-f59,AC0063(Lef1)-f74,AC0056/AC0069/AC0078(Mafg/Jun/Pax4/Atf3/Prdm14)-f82,0.162672,0.16097008,0.15757772,0.1573155,0.146667,0.13748702,0.13419417,0.1301304,0.12321841,0.122557916
85,350,AC0069/AC0052(Pax4/Bcl11B)-f3,AC0069(Pax4)-f2,AC0069/AC0052(Pax4/Bcl11B)-f69,AC0069(Pax4)-f5,AC0069(Pax4)-f55,AC0069(Pax4)-f15,AC0069(Pax4)-f0,AC0053(Six4)-f28,AC0069(Pax4)-f58,AC0069/AC0064/AC0073(Pax4/Pparg::Rxra/Prdm5)-f46,0.17799267,0.17775656,0.1652433,0.16411729,0.15985078,0.1544697,0.14839858,0.14467044,0.14359564,0.14180776
90,223,AC0069(Pax4)-f22,AC0069(Pax4)-f33,AC0069(Pax4)-f8,AC0069(Pax4)-f69,AC0069(Pax4)-f28,AC0073(Prdm5)-f59,AC0069/AC0012/AC0033(Pax4/Hoxd8/Hes1)-f79,AC0069(Pax4)-f51,AC0069(Pax4)-f56,AC0069(Pax4)-f67,0.1741396,0.15333231,0.15004066,0.14518127,0.14454575,0.14282502,0.13665123,0.13554499,0.12733094,0.12170936
90,276,AC0075(Zfp335)-f73,AC0029(Zic3)-f44,AC0069(Pax4)-f79,AC0069(Pax4)-f6,AC0069(Pax4)-f84,AC0069(Pax4)-f8,AC0069(Pax4)-f77,AC0002/AC0069(Stat2/Pax4)-f21,AC0069(Pax4)-f0,AC0069(Pax4)-f12,0.23988116,0.19553237,0.17552921,0.16767903,0.16014414,0.15837456,0.15516618,0.15297434,0.15153065,0.15133429
90,291,AC0010(Nanog)-f60,AC0069(Pax4)-f6,AC0069/AC0068(Pax4/Pax5)-f22,AC0069(Pax4)-f50,AC0069(Pax4)-f47,AC0069(Pax4)-f63,AC0069(Pax4)-f10,AC0069(Pax4)-f73,AC0064/AC0058(Pparg::Rxra/NR5A1)-f1,AC0069(Pax4)-f37,0.17288765,0.16427213,0.15087755,0.15013854,0.14993426,0.14710803,0.13998073,0.13923444,0.13883771,0.13425817
90,832,AC0023(Msgn1)-f2,AC0069(Pax4)-f42,AC0069(Pax4)-f86,AC0075(Zfp335)-f22,AC0069(Pax4)-f18,AC0069(Pax4)-f77,AC0033/AC0069(Hes1/Pax4)-f73,AC0069(Pax4)-f6,AC0069(Pax4)-f57,AC0069(Pax4)-f35,0.18904346,0.1798417,0.16919298,0.16364223,0.15743878,0.15483992,0.14000434,0.13737345,0.12801594,0.118713014
90,930,AC0069(Pax4)-f17,AC0012(Lhx1)-f48,AC0069(Pax4)-f60,AC0069(Pax4)-f57,AC0069(Pax4)-f78,AC0069(Pax4)-f1,AC0069/AC0073(Pax4/Prdm5)-f53,AC0037/AC0069(Hic1/Pax4)-f16,AC0069(Pax4)-f89,AC0069(Pax4)-f77,0.17064838,0.16999428,0.16965416,0.1635026,0.1545324,0.15268354,0.15115759,0.14584532,0.14538486,0.1394244
95,223,AC0069(Pax4)-f19,AC0069(Pax4)-f91,AC0069(Pax4)-f16,AC0069(Pax4)-f77,AC0069(Pax4)-f84,AC0069(Pax4)-f52,AC0069(Pax4)-f32,AC0069/AC0052(Pax4/Bcl11B)-f30,AC0069(Pax4)-f85,AC0069(Pax4)-f59,0.1667642,0.1633516,0.15491034,0.15411519,0.1524422,0.1500056,0.14731288,0.14528151,0.14104503,0.13652487
95,276,AC0069(Pax4)-f46,AC0069(Pax4)-f34,AC0069(Pax4)-f75,AC0069(Pax4)-f82,AC0069/AC0012(Pax4/Lhx1)-f89,AC0069(Pax4)-f48,AC0069(Pax4)-f37,AC0069(Pax4)-f83,AC0074/AC0029/AC0031(Ikzf3/Zic3/Tbx6)-f72,AC0069(Pax4)-f68,0.15268119,0.1506891,0.1408675,0.12975578,0.12767777,0.12591922,0.1252833,0.11825983,0.117170356,0.114042595
95,291,AC0069(Pax4)-f52,AC0069(Pax4)-f49,AC0069(Pax4)-f84,AC0073/AC0061(Prdm5/Nr1h3::Rxra)-f21,AC0069(Pax4)-f6,AC0069(Pax4)-f83,AC0069(Pax4)-f50,AC0069(Pax4)-f14,AC0069(Pax4)-f91,AC0069(Pax4)-f36,0.18015814,0.15439548,0.14800493,0.13818406,0.13755819,0.13621104,0.13417982,0.121664956,0.113568276,0.10165873
95,832,AC0069(Pax4)-f5,AC0069(Pax4)-f71,AC0069(Pax4)-f15,AC0069(Pax4)-f1,AC0069(Pax4)-f70,AC0053(Six4)-f43,AC0069(Pax4)-f59,AC0029/AC0069(Zic2/Pax4)-f28,AC0069(Pax4)-f90,AC0069(Pax4)-f92,0.1677024,0.15522404,0.14701253,0.14303198,0.14264357,0.12910159,0.12609552,0.12509142,0.12197993,0.12154671
95,350,AC0047/AC0069(Plagl1/Pax4)-f16,AC0069(Pax4)-f1,AC0069(Pax4)-f63,AC0069(Pax4)-f31,AC0069(Pax4)-f25,AC0073(Prdm5)-f2,AC0069/AC0058(Pax4/NR5A1)-f27,AC0069(Pax4)-f62,AC0069/AC0073/AC0052(Pax4/Prdm5/Bcl11B)-f8,AC0069(Pax4)-f11,0.1791345,0.16162701,0.15779541,0.15111426,0.1491904,0.14765896,0.14720522,0.14527485,0.14294124,0.13877977
100,223,AC0069(Pax4)-f4,AC0069(Pax4)-f43,AC0069(Pax4)-f34,AC0069/AC0033(Pax4/Hes1)-f76,AC0069(Pax4)-f32,AC0069(Pax4)-f5,AC0069(Pax4)-f78,AC0069(Pax4)-f60,AC0069(Pax4)-f69,AC0069(Pax4)-f67,0.15206811,0.15096642,0.14692226,0.14642142,0.13830176,0.13752721,0.13411471,0.124501206,0.1218071,0.121559784
100,276,AC0073(Prdm5)-f48,AC0069/AC0052(Pax4/Bcl11B)-f91,AC0069(Pax4)-f27,AC0069(Pax4)-f57,AC0069(Pax4)-f0,AC0069(Pax4)-f84,AC0069/AC0064/AC0047(Pax4/Pparg::Rxra/Plagl1)-f63,AC0012/AC0069/AC0064(Lhx1/Pax4/Pparg::Rxra)-f21,AC0069(Pax4)-f64,AC0069(Pax4)-f77,0.15812667,0.15461746,0.14186396,0.14181343,0.1359227,0.13300374,0.13283324,0.1246581,0.12131392,0.12047864
100,291,AC0066(Gli1/Gli2)-f69,AC0066(Gli1/Gli2)-f63,AC0069(Pax4)-f24,AC0069/AC0064(Pax4/Pparg::Rxra)-f23,AC0069(Pax4)-f28,AC0069(Pax4)-f58,AC0064/AC0069/AC0063(Pparg::Rxra/Pax4/Hnf1A/Lef1)-f22,AC0069(Pax4)-f91,AC0069/AC0073/AC0074(Pax4/Prdm5/Ikzf3)-f99,AC0069(Pax4)-f79,0.17986745,0.15711105,0.15536419,0.15480673,0.1430753,0.13998607,0.13993506,0.13982089,0.13476907,0.13376074
100,832,AC0069(Pax4)-f60,AC0069(Pax4)-f70,AC0069(Pax4)-f1,AC0069(Pax4)-f84,AC0069(Pax4)-f49,AC0069(Pax4)-f20,AC0069/AC0028(Pax4/Prdm15)-f2,AC0069(Pax4)-f34,AC0069(Pax4)-f79,AC0069(Pax4)-f86,0.16157475,0.15158388,0.1437379,0.13582806,0.13103248,0.13045631,0.12763797,0.12737845,0.1253572,0.12331202
100,350,AC0069/AC0065(Pax4/Klf4)-f73,AC0069(Pax4)-f5,AC0069(Pax4)-f35,AC0069(Pax4)-f93,AC0069(Pax4)-f24,AC0069(Pax4)-f86,AC0069(Pax4)-f16,AC0069(Pax4)-f58,AC0069(Pax4)-f37,AC0069(Pax4)-f56,0.17660415,0.14790826,0.14305586,0.13830839,0.13613652,0.1338446,0.12391739,0.12275032,0.121221006,0.11722876
